Cấp Lớp,Môn học,Chủ đề,Mức độ khó,Loại Câu Hỏi,Câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng,Lời giải
5,math,math6,hard,drag_drop,"Kéo số: Diện tích tam giác đáy 7162m, cao 2m là [ ] m².",14324,3581,7162,7164,7162,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,multiple_choice,"Diện tích tam giác có đáy 642cm, cao 10cm là:",6420 cm²,3210 cm²,642 cm²,,3210 cm²,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,fill_blank,"Hình thang đáy lớn 649cm, đáy bé 647cm, cao 2cm có diện tích ... cm².",2596,1298,649,1296,1296,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,hard,true_false,Đúng hay Sai: Hình tam giác có 3 cạnh và 3 đỉnh. (ID 15),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,comparison,"Diện tích tam giác đáy 663, cao 4 ... Diện tích tam giác đáy 4, cao 663",=,<,>,,=,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,sequence,"Diện tích các tam giác chung chiều cao 5cm, đáy lần lượt là 670cm, 672cm, 674cm sẽ lập thành dãy số cách đều nhau bao nhiêu cm²?",15,10,2,5,5,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,hard,drag_drop,"Kéo số: Diện tích tam giác đáy 7240m, cao 2m là [ ] m².",14480,3620,7242,7240,7240,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,multiple_choice,"Diện tích tam giác có đáy 684cm, cao 10cm là:",684 cm²,6840 cm²,3420 cm²,,3420 cm²,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,fill_blank,"Hình thang đáy lớn 691cm, đáy bé 689cm, cao 2cm có diện tích ... cm².",1382,1380,2764,691,1380,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,hard,true_false,Đúng hay Sai: Hình tam giác có 3 cạnh và 3 đỉnh. (ID 16),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,comparison,"Diện tích tam giác đáy 705, cao 4 ... Diện tích tam giác đáy 4, cao 705",>,=,<,,=,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,sequence,"Diện tích các tam giác chung chiều cao 5cm, đáy lần lượt là 712cm, 714cm, 716cm sẽ lập thành dãy số cách đều nhau bao nhiêu cm²?",2,10,5,15,5,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,hard,drag_drop,"Kéo số: Diện tích tam giác đáy 7318m, cao 2m là [ ] m².",3659,7320,14636,7318,7318,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,multiple_choice,"Diện tích tam giác có đáy 726cm, cao 10cm là:",726 cm²,3630 cm²,7260 cm²,,3630 cm²,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,fill_blank,"Hình thang đáy lớn 733cm, đáy bé 731cm, cao 2cm có diện tích ... cm².",2932,1464,733,1466,1464,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,hard,true_false,Đúng hay Sai: Hình tam giác có 3 cạnh và 3 đỉnh. (ID 17),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,comparison,"Diện tích tam giác đáy 747, cao 4 ... Diện tích tam giác đáy 4, cao 747",=,>,<,,=,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,sequence,"Diện tích các tam giác chung chiều cao 5cm, đáy lần lượt là 754cm, 756cm, 758cm sẽ lập thành dãy số cách đều nhau bao nhiêu cm²?",2,15,5,10,5,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,hard,drag_drop,"Kéo số: Diện tích tam giác đáy 7396m, cao 2m là [ ] m².",3698,14792,7396,7398,7396,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,multiple_choice,"Diện tích tam giác có đáy 768cm, cao 10cm là:",3840 cm²,768 cm²,7680 cm²,,3840 cm²,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,fill_blank,"Hình thang đáy lớn 775cm, đáy bé 773cm, cao 2cm có diện tích ... cm².",1550,1548,3100,775,1548,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,hard,true_false,Đúng hay Sai: Hình tam giác có 3 cạnh và 3 đỉnh. (ID 18),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,comparison,"Diện tích tam giác đáy 789, cao 4 ... Diện tích tam giác đáy 4, cao 789",>,=,<,,=,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,sequence,"Diện tích các tam giác chung chiều cao 5cm, đáy lần lượt là 796cm, 798cm, 800cm sẽ lập thành dãy số cách đều nhau bao nhiêu cm²?",15,5,10,2,5,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,hard,drag_drop,"Kéo số: Diện tích tam giác đáy 7474m, cao 2m là [ ] m².",7476,3737,7474,14948,7474,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,multiple_choice,"Diện tích tam giác có đáy 810cm, cao 10cm là:",4050 cm²,810 cm²,8100 cm²,,4050 cm²,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,fill_blank,"Hình thang đáy lớn 817cm, đáy bé 815cm, cao 2cm có diện tích ... cm².",1634,817,3268,1632,1632,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,hard,true_false,Đúng hay Sai: Hình tam giác có 3 cạnh và 3 đỉnh. (ID 19),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,comparison,"Diện tích tam giác đáy 831, cao 4 ... Diện tích tam giác đáy 4, cao 831",<,=,>,,=,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,sequence,"Diện tích các tam giác chung chiều cao 5cm, đáy lần lượt là 838cm, 840cm, 842cm sẽ lập thành dãy số cách đều nhau bao nhiêu cm²?",10,5,15,2,5,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,hard,drag_drop,"Kéo số: Diện tích tam giác đáy 7552m, cao 2m là [ ] m².",7552,15104,7554,3776,7552,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,multiple_choice,"Diện tích tam giác có đáy 852cm, cao 10cm là:",852 cm²,8520 cm²,4260 cm²,,4260 cm²,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,fill_blank,"Hình thang đáy lớn 859cm, đáy bé 857cm, cao 2cm có diện tích ... cm².",1718,859,1716,3436,1716,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,hard,true_false,Đúng hay Sai: Hình tam giác có 3 cạnh và 3 đỉnh. (ID 20),Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,easy,comparison,"Diện tích tam giác đáy 873, cao 4 ... Diện tích tam giác đáy 4, cao 873",=,>,<,,=,Ôn luyện Toán 5 - Chủ đề 6
5,math,math6,medium,sequence,"Diện tích các tam giác chung chiều cao 5cm, đáy lần lượt là 880cm, 882cm, 884cm sẽ lập thành dãy số cách đều nhau bao nhiêu cm²?",2,15,10,5,5,Ôn luyện Toán 5 - Chủ đề 6
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 12 cm là:,37.2 cm,37.68 cm,12 cm,75.36 cm,37.68 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 19cm thì đường kính bằng ... cm.,38,19,76,9,38,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn.,Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 33 ... Chu vi hình tròn đường kính 66,<,>,=,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 40, 80, 120, ... cm.",200,160,280,240,160,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ].,3.41,3.15,3.12,3.14,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 54 cm là:,339.12 cm,167.4 cm,54 cm,169.56 cm,169.56 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 61cm thì đường kính bằng ... cm.,122,30,61,244,122,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 1),Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 75 ... Chu vi hình tròn đường kính 150,>,<,=,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 82, 164, 246, ... cm.",492,574,410,328,328,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 1),3.41,3.14,3.15,3.12,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 96 cm là:,602.88 cm,96 cm,297.6 cm,301.44 cm,301.44 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 103cm thì đường kính bằng ... cm.,51,206,412,103,206,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 2),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 117 ... Chu vi hình tròn đường kính 234,<,>,=,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 124, 248, 372, ... cm.",744,620,496,868,496,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 2),3.14,3.12,3.41,3.15,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 138 cm là:,866.64 cm,427.8 cm,433.32 cm,138 cm,433.32 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 145cm thì đường kính bằng ... cm.,145,290,580,72,290,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 3),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 159 ... Chu vi hình tròn đường kính 318,<,>,=,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 166, 332, 498, ... cm.",996,830,1162,664,664,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 3),3.14,3.12,3.15,3.41,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 180 cm là:,565.2 cm,1130.4 cm,180 cm,558.0 cm,565.2 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 187cm thì đường kính bằng ... cm.,748,93,187,374,374,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 4),Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 201 ... Chu vi hình tròn đường kính 402,=,<,>,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 208, 416, 624, ... cm.",832,1248,1040,1456,832,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 4),3.15,3.41,3.14,3.12,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 222 cm là:,1394.16 cm,222 cm,688.2 cm,697.08 cm,697.08 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 229cm thì đường kính bằng ... cm.,458,114,916,229,458,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 5),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 243 ... Chu vi hình tròn đường kính 486,>,=,<,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 250, 500, 750, ... cm.",1250,1000,1750,1500,1000,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 5),3.12,3.14,3.15,3.41,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 264 cm là:,264 cm,828.96 cm,818.4 cm,1657.92 cm,828.96 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 271cm thì đường kính bằng ... cm.,271,135,542,1084,542,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 6),Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 285 ... Chu vi hình tròn đường kính 570,>,<,=,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 292, 584, 876, ... cm.",2044,1752,1168,1460,1168,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 6),3.12,3.14,3.15,3.41,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 306 cm là:,948.6 cm,960.84 cm,306 cm,1921.68 cm,960.84 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 313cm thì đường kính bằng ... cm.,626,156,313,1252,626,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 7),Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 327 ... Chu vi hình tròn đường kính 654,=,>,<,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 334, 668, 1002, ... cm.",2338,2004,1336,1670,1336,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 7),3.14,3.41,3.15,3.12,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 348 cm là:,1078.8 cm,1092.72 cm,348 cm,2185.44 cm,1092.72 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 355cm thì đường kính bằng ... cm.,177,1420,710,355,710,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 8),Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 369 ... Chu vi hình tròn đường kính 738,>,=,<,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 376, 752, 1128, ... cm.",2256,2632,1504,1880,1504,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 8),3.12,3.14,3.41,3.15,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 390 cm là:,1224.6 cm,1209.0 cm,2449.2 cm,390 cm,1224.6 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 397cm thì đường kính bằng ... cm.,397,1588,794,198,794,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 9),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 411 ... Chu vi hình tròn đường kính 822,<,=,>,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 418, 836, 1254, ... cm.",2090,2926,2508,1672,1672,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 9),3.14,3.15,3.12,3.41,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 432 cm là:,1339.2 cm,432 cm,2712.96 cm,1356.48 cm,1356.48 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 439cm thì đường kính bằng ... cm.,439,878,1756,219,878,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 10),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 453 ... Chu vi hình tròn đường kính 906,>,<,=,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 460, 920, 1380, ... cm.",1840,2760,2300,3220,1840,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 10),3.14,3.41,3.15,3.12,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 474 cm là:,474 cm,1469.4 cm,2976.72 cm,1488.36 cm,1488.36 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 481cm thì đường kính bằng ... cm.,240,481,962,1924,962,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 11),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 495 ... Chu vi hình tròn đường kính 990,=,<,>,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 502, 1004, 1506, ... cm.",2008,3012,2510,3514,2008,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 11),3.41,3.14,3.12,3.15,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 516 cm là:,1599.6 cm,1620.24 cm,3240.48 cm,516 cm,1620.24 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 523cm thì đường kính bằng ... cm.,523,1046,261,2092,1046,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 12),Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 537 ... Chu vi hình tròn đường kính 1074,>,=,<,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 544, 1088, 1632, ... cm.",2720,2176,3264,3808,2176,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 12),3.14,3.12,3.41,3.15,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 558 cm là:,1752.12 cm,558 cm,1729.8 cm,3504.24 cm,1752.12 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 565cm thì đường kính bằng ... cm.,282,2260,565,1130,1130,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 13),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 579 ... Chu vi hình tròn đường kính 1158,=,<,>,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 586, 1172, 1758, ... cm.",3516,2344,4102,2930,2344,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 13),3.41,3.15,3.14,3.12,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 600 cm là:,1884.0 cm,1860.0 cm,3768.0 cm,600 cm,1884.0 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 607cm thì đường kính bằng ... cm.,1214,2428,607,303,1214,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 14),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 621 ... Chu vi hình tròn đường kính 1242,<,=,>,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 628, 1256, 1884, ... cm.",3768,2512,3140,4396,2512,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 14),3.15,3.12,3.14,3.41,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 642 cm là:,642 cm,4031.76 cm,1990.2 cm,2015.88 cm,2015.88 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 649cm thì đường kính bằng ... cm.,1298,324,649,2596,1298,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 15),Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 663 ... Chu vi hình tròn đường kính 1326,>,=,<,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 670, 1340, 2010, ... cm.",3350,4690,2680,4020,2680,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 15),3.14,3.15,3.12,3.41,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 684 cm là:,4295.52 cm,2120.4 cm,2147.76 cm,684 cm,2147.76 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 691cm thì đường kính bằng ... cm.,691,1382,2764,345,1382,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 16),Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 705 ... Chu vi hình tròn đường kính 1410,>,<,=,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 712, 1424, 2136, ... cm.",4272,3560,4984,2848,2848,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 16),3.14,3.41,3.15,3.12,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 726 cm là:,2279.64 cm,4559.28 cm,2250.6 cm,726 cm,2279.64 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 733cm thì đường kính bằng ... cm.,733,366,1466,2932,1466,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 17),Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 747 ... Chu vi hình tròn đường kính 1494,=,>,<,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 754, 1508, 2262, ... cm.",4524,5278,3770,3016,3016,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 17),3.12,3.14,3.41,3.15,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 768 cm là:,2380.8 cm,4823.04 cm,2411.52 cm,768 cm,2411.52 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 775cm thì đường kính bằng ... cm.,1550,387,3100,775,1550,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 18),Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 789 ... Chu vi hình tròn đường kính 1578,=,>,<,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 796, 1592, 2388, ... cm.",3980,3184,4776,5572,3184,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,drag_drop,Kéo số: Pi xấp xỉ bằng [ ]. (ID 18),3.41,3.14,3.12,3.15,3.14,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,multiple_choice,Chu vi hình tròn đường kính 810 cm là:,2543.4 cm,810 cm,5086.8 cm,2511.0 cm,2543.4 cm,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,fill_blank,Bán kính hình tròn là 817cm thì đường kính bằng ... cm.,3268,408,817,1634,1634,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,hard,true_false,Đúng hay Sai: Đường kính là dây cung dài nhất của hình tròn. (ID 19),Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,easy,comparison,Chu vi hình tròn bán kính 831 ... Chu vi hình tròn đường kính 1662,>,<,=,,=,Ôn luyện Toán 5 - Chủ đề 7
5,math,math7,medium,sequence,"Đường kính các hình tròn: 838, 1676, 2514, ... cm.",5028,3352,5866,4190,3352,Ôn luyện Toán 5 - Chủ đề 7
