Tên Đề Thi,Cấp Lớp,Mốc Thời Gian,Loại Câu Hỏi,Nội dung câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 1,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 1,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 1,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,nghỉ,ngủ,ngô,ngà,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 1,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngô,ngà,ngủ,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 1,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 1,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,nghỉ,ngủ,ngà,ngô,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 2,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 2,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 2,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngô,ngủ,ngà,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 2,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngủ,ngô,ngà,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 2,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 2,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 2,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 2,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 2,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 2,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 3,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngô,ngủ,nghỉ,ngà,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 3,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 3,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 3,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 3,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,nghỉ,ngà,ngô,ngủ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 3,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 3,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,nghỉ,ngô,ngủ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 3,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 3,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 3,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngủ,ngà,ngô,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 4,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngô,ngủ,ngà,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 4,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 4,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,ngô,ngủ,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 4,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,ngô,ngủ,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 4,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 4,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 4,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 4,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 4,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 4,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngô,nghỉ,ngủ,ngà,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 5,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 5,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,nghỉ,ngủ,ngô,ngà,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 5,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 5,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,nghỉ,ngủ,ngà,ngô,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 5,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngô,ngà,ngủ,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 5,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 5,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 5,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngủ,ngà,ngô,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 5,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngô,nghỉ,ngà,ngủ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 5,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,ngô,ngủ,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 6,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 6,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,ngô,ngủ,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 6,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 6,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 6,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 6,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,nghỉ,ngủ,ngô,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 6,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 6,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 6,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 6,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 7,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,ngủ,ngô,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 7,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 7,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,ngủ,ngô,nghỉ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 7,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 7,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngô,nghỉ,ngủ,ngà,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 7,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 7,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 7,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,ngô,nghỉ,ngủ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 7,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,nghỉ,ngô,ngủ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 7,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 8,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngủ,nghỉ,ngô,ngà,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 8,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 8,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngô,nghỉ,ngủ,ngà,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 8,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 8,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 8,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 8,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 8,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 8,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 8,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,nghỉ,ngủ,ngô,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 9,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 9,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,nghỉ,ngà,ngủ,ngô,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 9,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 9,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 9,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 9,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 9,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 9,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngà,nghỉ,ngô,ngủ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 9,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 9,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 10,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 10,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 10,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 10,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 10,1,end1,comparison,So sánh độ dài: 'anh' ... 'em',>,<,=,,=
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 10,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 10,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 10,1,end1,multiple_choice,Chữ nào bắt đầu bằng 'ngh'?,ngô,ngà,nghỉ,ngủ,nghỉ
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 10,1,end1,true_false,Đúng hay sai: 'Hoa hồng' là từ chỉ sự vật.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - END1 - Đề 10,1,end1,fill_blank,Điền từ: Con m... kêu meo meo.,mèo,chó,gà,lợn,mèo
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 1,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 1,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Cây cối,Bàn ghế,Ông bà,Bút thước,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 1,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 1,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 1,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 1,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Cây cối,Bàn ghế,Ông bà,Bút thước,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 1,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Cây cối,Bàn ghế,Bút thước,Ông bà,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 1,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Cây cối,Bàn ghế,Ông bà,Bút thước,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 1,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bàn ghế,Ông bà,Bút thước,Cây cối,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 1,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Cây cối,Bút thước,Ông bà,Bàn ghế,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 2,1,mid2,true_false,Đúng hay sai: 'Đi học' là từ chỉ hoạt động.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 2,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 2,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 2,1,mid2,true_false,Đúng hay sai: 'Đi học' là từ chỉ hoạt động.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 2,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 2,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 2,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 2,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 2,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 2,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 3,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bút thước,Cây cối,Ông bà,Bàn ghế,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 3,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Cây cối,Bút thước,Ông bà,Bàn ghế,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 3,1,mid2,true_false,Đúng hay sai: 'Đi học' là từ chỉ hoạt động.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 3,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 3,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bàn ghế,Bút thước,Ông bà,Cây cối,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 3,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 3,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 3,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 3,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 3,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 4,1,mid2,true_false,Đúng hay sai: 'Đi học' là từ chỉ hoạt động.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 4,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 4,1,mid2,true_false,Đúng hay sai: 'Đi học' là từ chỉ hoạt động.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 4,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 4,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 4,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 4,1,mid2,true_false,Đúng hay sai: 'Đi học' là từ chỉ hoạt động.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 4,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 4,1,mid2,true_false,Đúng hay sai: 'Đi học' là từ chỉ hoạt động.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 4,1,mid2,true_false,Đúng hay sai: 'Đi học' là từ chỉ hoạt động.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 5,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bút thước,Bàn ghế,Cây cối,Ông bà,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 5,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bàn ghế,Cây cối,Bút thước,Ông bà,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 5,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 5,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 5,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 5,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bàn ghế,Bút thước,Ông bà,Cây cối,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 5,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 5,1,mid2,true_false,Đúng hay sai: 'Đi học' là từ chỉ hoạt động.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 5,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 5,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 6,1,mid2,true_false,Đúng hay sai: 'Đi học' là từ chỉ hoạt động.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 6,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Ông bà,Bút thước,Bàn ghế,Cây cối,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 6,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bàn ghế,Ông bà,Bút thước,Cây cối,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 6,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Cây cối,Ông bà,Bàn ghế,Bút thước,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 6,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bàn ghế,Bút thước,Ông bà,Cây cối,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 6,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 6,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bút thước,Cây cối,Ông bà,Bàn ghế,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 6,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bút thước,Cây cối,Ông bà,Bàn ghế,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 6,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 6,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bàn ghế,Ông bà,Cây cối,Bút thước,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 7,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bàn ghế,Ông bà,Cây cối,Bút thước,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 7,1,mid2,true_false,Đúng hay sai: 'Đi học' là từ chỉ hoạt động.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 7,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bút thước,Ông bà,Cây cối,Bàn ghế,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 7,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bút thước,Cây cối,Ông bà,Bàn ghế,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 7,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Bút thước,Ông bà,Cây cối,Bàn ghế,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 7,1,mid2,multiple_choice,Từ nào chỉ người trong gia đình?,Cây cối,Bút thước,Ông bà,Bàn ghế,Ông bà
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 7,1,mid2,fill_blank,Điền vần: Buổi s... (sáng/xáng)?,sáng,xáng,sán,xán,sáng
Đề thi Tiếng Việt Lớp 1 - MID2 - Đề 7,1,mid2,comparison,So sánh số tiếng: 'trường học' ... 'lớp',>,<,=,,>
